4172,2511
3864,2744
3484,2835
3001,2906
2434,3129
1867,2906
1384,2835
1004,2744
696,2511
4198,2386
3898,2582
3515,2698
3023,2719
2434,2912
1845,2719
1353,2698
970,2582
670,2386
4211,2304
3933,2398
3545,2507
3036,2610
2434,2680
1832,2610
1323,2507
935,2398
657,2304
4230,2172
3957,2251
3567,2349
3053,2391
2434,2427
1815,2391
1301,2349
911,2251
638,2172
4244,2039
3972,2091
3589,2134
3068,2155
2434,2162
1800,2155
1279,2134
896,2091
624,2039
4251,1895
3984,1895
3603,1895
3077,1895
2434,1895
1791,1895
1265,1895
884,1895
617,1895
4244,1751
3972,1699
3589,1656
3068,1635
2434,1626
1800,1635
1279,1656
896,1699
624,1751
4230,1618
3957,1539
3567,1441
3053,1399
2434,1382
1815,1399
1301,1441
911,1539
638,1618
4211,1486
3933,1392
3545,1283
3036,1180
2434,1153
1832,1180
1323,1283
935,1392
657,1486
4198,1404
3898,1208
3515,1092
3023,1071
2434,948
1845,1071
1353,1092
970,1208
670,1404
4172,1279
3864,1046
3484,955
3001,884
2434,766
1867,884
1384,955
1004,1046
696,1279
