4814,2572
4750,2634
4666,2714
4548,2808
4396,2916
4192,3040
3900,3164
3504,3296
3000,3384
2432,3408
1860,3360
1380,3244
1004,3108
720,2980
516,2872
358,2762
246,2682
156,2608
88,2546
4846,2310
4788,2354	
4708,2406	
4606,2468	
4468,2540	
4276,2628	
3996,2728	
3596,2828	
3064,2900	
2440,2928	
1816,2884	
1308,2792	
920,2692	
656,2600	
456,2516	
308,2440	
202,2386	
122,2334	
56,2298	
4850,2038
4796,2058	
4722,2076	
4626,2102	
4496,2136	
4308,2172	
4036,2212	
3648,2252	
3104,2296	
2452,2300	
1808,2280
1280,2252	
888,2204	
620,2164	
424,2124	
286,2096	
184,2076	
106,2052	
42,2038	
4834,1766
4780,1762	
4702,1748	
4602,1740	
4472,1724	
4288,1704	
4008,1680	
3616,1660	
3088,1644	
2444,1632	
1808,1648	
1300,1672	
908,1684	
632,1708	
444,1724	
298,1742	
194,1754	
116,1762	
52,1776	
4790,1510
4730,1476	
4650,1434	
4542,1392	
4400,1332	
4204,1272	
3932,1196	
3544,1128	
3040,1068	
2448,1060	
1856,1080	
1356,1140	
976,1216	
704,1291	
500,1348	
348,1400	
238,1450	
150,1484	
82,1516	
4734,1262
4664,1212	
4566,1146	
4450,1076	
4304,996	
4088,900	
3796,800	
3428,700	
2960,632	
2436,612	
1916,640	
1452,720	
1076,816	
804,912	
588,1012	
426,1090	
302,1160	
208,1216	
132,1274	
4658,1034
4576,968
4470,886		
4334,794	
4168,700	
3956,596	
3672,484	
3320,392	
2900,320	
2432,296	
1972,328	
1548,400	
1200,496	
920,608	
696,716	
528,810	
392,902	
284,978	
198,1046	
4574,826
4478,744	
4366,660	
4222,566	
4044,460	
3822,348	
3548,242	
3218,152	
2836,88	
2424,70	
2014,96	
1640,162	
1310,256	
1030,368	
808,476	
632,582	
488,674	
370,760	
272,840	
